

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.164  000.159: event init
000.343  000.179: early init
001.073  000.730: locale set
001.115  000.042: init first window
001.651  000.536: inits 1
001.669  000.018: window checked
001.671  000.002: parsing arguments
002.193  000.088  000.088: require('vim.shared')
002.313  000.044  000.044: require('vim._meta')
002.315  000.117  000.074: require('vim._editor')
002.317  000.253  000.047: require('vim._init_packages')
002.318  000.395: init lua interpreter
005.820  003.501: expanding arguments
005.879  000.059: inits 2
006.195  000.316: init highlight
006.196  000.002: waiting for UI
009.089  002.893: done waiting for UI
009.108  000.019: clear screen
009.343  000.234: init default mappings
009.365  000.023: init default autocommands
012.651  000.090  000.090: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/ftplugin.vim
013.149  000.028  000.028: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/indent.vim
021.965  008.457  008.457: require('impatient')
022.632  000.074  000.074: require('colorizer/nvim')
022.765  000.010  000.010: require('ffi')
022.855  000.221  000.211: require('colorizer/trie')
022.970  000.549  000.254: require('colorizer')
023.569  001.492  000.943: require('modules.core.settings')
023.787  000.088  000.088: require('telescope._extensions')
023.789  000.147  000.059: require('telescope')
024.732  000.062  000.062: require('vim.treesitter.language')
024.759  000.177  000.114: require('vim.treesitter.query')
024.856  000.095  000.095: require('vim.treesitter.languagetree')
024.864  000.396  000.125: require('vim.treesitter')
024.976  000.639  000.243: require('nvim-treesitter.parsers')
025.073  000.096  000.096: require('nvim-treesitter.utils')
025.077  000.826  000.091: require('nvim-treesitter.ts_utils')
025.212  000.081  000.081: require('refactoring.point')
025.216  000.138  000.056: require('refactoring.region')
025.693  000.044  000.044: require('plenary.tbl')
025.696  000.089  000.045: require('plenary.vararg.rotate')
025.697  000.135  000.046: require('plenary.vararg')
025.739  000.041  000.041: require('plenary.errors')
025.784  000.044  000.044: require('plenary.functional')
025.787  000.277  000.057: require('plenary.async.async')
026.022  000.099  000.099: require('plenary.async.structs')
026.028  000.152  000.053: require('plenary.async.control')
026.033  000.203  000.051: require('plenary.async.util')
026.035  000.247  000.044: require('plenary.async.tests')
026.036  000.819  000.295: require('plenary.async')
026.040  001.902  000.119: require('refactoring.utils')
026.108  000.067  000.067: require('refactoring.pipeline')
026.167  000.058  000.058: require('refactoring.tasks.selection_setup')
026.224  000.057  000.057: require('refactoring.tasks.ensure_code_gen')
026.276  000.050  000.050: require('refactoring.code_generation.utils')
026.519  000.045  000.045: require('refactoring.code_generation.indent')
026.525  000.103  000.059: require('refactoring.code_generation.langs.typescript')
026.527  000.153  000.050: require('refactoring.code_generation.langs.javascript')
026.577  000.049  000.049: require('refactoring.code_generation.langs.lua')
026.634  000.056  000.056: require('refactoring.code_generation.langs.go')
026.686  000.051  000.051: require('refactoring.code_generation.langs.cpp')
026.734  000.047  000.047: require('refactoring.code_generation.langs.c')
026.789  000.054  000.054: require('refactoring.code_generation.langs.python')
026.839  000.049  000.049: require('refactoring.code_generation.langs.php')
026.889  000.049  000.049: require('refactoring.code_generation.langs.java')
026.938  000.049  000.049: require('refactoring.code_generation.langs.ruby')
026.940  000.613  000.057: require('refactoring.code_generation')
026.942  000.665  000.052: require('refactoring.lsp_utils')
027.118  000.128  000.128: require('refactoring.config')
027.170  000.051  000.051: require('refactoring.query')
027.277  000.061  000.061: require('refactoring.treesitter.treesitter')
027.438  000.048  000.048: require('refactoring.treesitter.nodes')
027.440  000.104  000.055: require('refactoring.treesitter.langs.typescript')
027.489  000.048  000.048: require('refactoring.treesitter.langs.cpp')
027.537  000.046  000.046: require('refactoring.treesitter.langs.c')
027.584  000.046  000.046: require('refactoring.treesitter.langs.go')
027.632  000.047  000.047: require('refactoring.treesitter.langs.lua')
027.680  000.047  000.047: require('refactoring.treesitter.langs.python')
027.731  000.050  000.050: require('refactoring.treesitter.langs.javascript')
027.780  000.047  000.047: require('refactoring.treesitter.langs.php')
027.829  000.048  000.048: require('refactoring.treesitter.langs.java')
027.880  000.050  000.050: require('refactoring.treesitter.langs.ruby')
027.882  000.712  000.116: require('refactoring.treesitter')
027.884  000.940  000.050: require('refactoring.tasks.refactor_setup')
027.926  000.042  000.042: require('refactoring.get_input')
027.969  000.042  000.042: require('refactoring.tasks.create_file')
028.047  000.039  000.039: require('refactoring.tasks.format')
028.088  000.041  000.041: require('refactoring.tasks.adjust_cursor')
028.130  000.040  000.040: require('refactoring.tasks.apply_text_edits')
028.131  000.161  000.042: require('refactoring.tasks.post_refactor')
028.135  004.089  000.106: require('refactoring.refactor.106')
028.186  000.050  000.050: require('refactoring.refactor.119')
028.274  000.042  000.042: require('refactoring.get_select_input')
028.669  000.076  000.076: require('nvim-treesitter.tsrange')
028.723  000.051  000.051: require('nvim-treesitter.caching')
028.729  000.315  000.188: require('nvim-treesitter.query')
028.738  000.426  000.112: require('nvim-treesitter.locals')
028.740  000.465  000.039: require('refactoring.ts')
028.743  000.556  000.049: require('refactoring.refactor.123')
028.747  004.827  000.132: require('refactoring.refactor')
028.908  000.046  000.046: require('refactoring.debug.debug_utils')
028.910  000.103  000.057: require('refactoring.debug.printf')
028.965  000.054  000.054: require('refactoring.debug.print_var')
029.013  000.047  000.047: require('refactoring.debug.get_path')
029.108  000.093  000.093: require('refactoring.debug.cleanup')
029.111  000.361  000.063: require('refactoring.debug')
029.113  005.253  000.065: require('refactoring')
029.115  005.324  000.071: require('telescope._extensions.refactoring')
029.237  000.004  000.004: require('vim.keymap')
029.249  005.679  000.203: require('modules.core.mappings')
029.750  000.063  000.063: require('gruvbox-baby.hsluv')
029.832  000.080  000.080: require('gruvbox-baby.theme')
029.834  000.201  000.057: require('gruvbox-baby.util')
029.836  000.262  000.062: require('gruvbox-baby')
029.898  000.061  000.061: require('gruvbox-baby.config')
030.017  000.118  000.118: require('gruvbox-baby.colors')
030.809  000.067  000.067: require('vim.treesitter.highlighter')
031.105  000.434  000.366: require('gruvbox-baby.ts-fix')
031.108  001.562  000.687: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/gruvbox-baby/colors/gruvbox-baby.vim
031.259  002.009  000.447: require('modules.core.colors.gruvboxbby')
031.411  000.041  000.041: require('noice.util.lazy')
031.415  000.097  000.056: require('noice')
031.490  000.074  000.074: require('noice.api')
031.539  000.047  000.047: require('noice.api.status')
031.657  000.052  000.052: require('lualine_require')
031.900  000.353  000.301: require('lualine')
032.757  000.051  000.051: require('lualine.themes.gruvbox_dark')
035.052  000.072  000.072: require('lualine.utils.mode')
037.308  000.054  000.054: require('lualine.extensions.nerdtree')
037.411  006.150  005.401: require('modules.core.lualine')
037.471  000.059  000.059: require('modules.core.scratch')
037.798  000.040  000.040: require('luasnip.session')
037.858  000.059  000.059: require('luasnip.util.util')
037.896  000.037  000.037: require('luasnip.util.types')
037.978  000.041  000.041: require('luasnip.util.ext_opts')
038.006  000.109  000.068: require('luasnip.nodes.util')
038.044  000.037  000.037: require('luasnip.util.events')
038.049  000.344  000.062: require('luasnip.nodes.node')
